id;expense_name;start_date;amount;frequency
1;grid-enabled Generic Wooden Mouse;2020-03-08;65725;BIWEEKLY
2;orchestrate online;2020-03-08;68702;BIMONTHLY
3;Producer SDD;2020-03-08;68172;MONTHLY
4;encryption Bedfordshire;2020-03-08;25262;BIMONTHLY
5;e-services Investment Account Nigeria;2020-03-08;7336;MONTHLY
6;Junction hack Quality;2020-03-08;22684;MONTHLY
7;Colombian Peso Unidad de Valor Real Bulgarian Lev;2020-03-08;94726;DAILY
8;transmit;2020-03-08;40492;DAILY
9;mesh;2020-03-08;61122;MONTHLY
10;plum Granite French Polynesia;2020-03-07;52626;DAILY
